Ts,uEst,uVal,yEst,yVal
2536,2.9443,3.768,3.5525,5.1324
2540,2.9786,3.8291,3.579,5.1391
2544,3.0068,3.8718,3.5903,5.1547
2548,3.0261,3.8941,3.5976,5.1659
2552,3.0346,3.8956,3.5894,5.191
2556,3.0315,3.8776,3.5818,5.2004
2560,3.0172,3.8431,3.5891,5.2984
2564,2.9932,3.7963,3.6016,5.3637
2568,2.9624,3.7421,3.6211,5.3973
2572,2.9282,3.6858,3.6431,5.4559
2576,2.8949,3.6322,3.6529,5.5825
2580,2.8664,3.5856,3.6397,5.6191
2584,2.8465,3.5487,3.6703,5.7086
2588,2.8381,3.5227,3.6587,5.8074
2592,2.8431,3.5072,3.6818,5.9222
2596,2.8619,3.4998,3.677,5.9741
2600,2.8936,3.4971,3.6806,6.0952
2604,2.9362,3.4946,3.7166,6.1593
2608,2.9866,3.4872,3.7664,6.2686
2612,3.0412,3.47,3.7905,6.3076
2616,3.096,3.4385,3.8079,6.4224
2620,3.1473,3.3895,3.8427,6.5112
2624,3.1922,3.3212,3.8311,6.5664
2628,3.2284,3.2331,3.8793,6.6494
2632,3.2548,3.1264,3.8857,6.6879
2636,3.2715,3.0037,3.9809,6.7324
2640,3.2795,2.8683,3.9965,6.7498
2644,3.2806,2.7245,4.0395,6.8011
2648,3.2772,2.5764,4.0499,6.8304
2652,3.2717,2.4279,4.0945,6.8972
2656,3.2663,2.2822,4.1033,6.9253
2660,3.2626,2.1415,4.1573,6.9433
2664,3.2617,2.0071,4.1802,6.9555
2668,3.2636,1.8795,4.2229,6.9406
2672,3.2677,1.7584,4.2348,6.9628
2676,3.2727,1.6431,4.3212,6.9622
2680,3.2769,1.533,4.3755,6.9424
2684,3.2786,1.4281,4.4295,6.9314
2688,3.2763,1.329,4.4768,6.9485
2692,3.2693,1.2372,4.5498,6.9302
2696,3.2574,1.1556,4.6291,6.9009
2700,3.2415,1.0877,4.6944,6.9024
2704,3.2231,1.0378,4.7338,6.8255
2708,3.2046,1.0102,4.8437,6.7742
2712,3.1885,1.0092,4.8809,6.7382
2716,3.1773,1.038,4.9306,6.6772
2720,3.1731,1.0987,5.0161,6.5692
2724,3.1771,1.1913,5.0723,6.4764
2728,3.1895,1.3143,5.1394,6.3784
2732,3.209,1.4637,5.1846,6.2271
2736,3.2328,1.6343,5.2569,6.0943
2740,3.2573,1.8193,5.3118,5.9615
2744,3.2777,2.0111,5.3838,5.8196
2748,3.2891,2.2023,5.4318,5.6561
2752,3.2865,2.3863,5.5206,5.1049
2756,3.2658,2.5577,5.5541,4.9603
2760,3.2241,2.7135,5.6243,4.854
2764,3.1603,2.8526,5.6902,4.7549
2768,3.0753,2.9769,5.7659,4.663
2772,2.972,3.0901,5.8218,4.598
2776,2.855,3.1982,5.8706,4.5501
2780,2.7306,3.3079,5.9365,4.5144
2784,2.606,3.4267,5.9609,4.4561
2788,2.4884,3.5613,6.0146,4.4561
2792,2.3848,3.7172,6.0366,4.4375
2796,2.3008,3.8977,6.1001,4.4033
2800,2.2402,4.1038,6.0919,4.4143
2804,2.2048,4.3333,6.1489,4.4036
2808,2.1938,4.5815,6.1254,4.4262
2812,2.2041,4.8415,6.1782,4.4179
2816,2.2309,5.1043,6.1523,4.4335
2820,2.2675,5.3602,6.1798,4.4189
2824,2.3069,5.5996,6.192,4.4417
2828,2.342,5.8137,6.1877,4.4561
2832,2.3665,5.9955,6.166,4.4656
2836,2.3757,6.1403,6.1724,4.5025
2840,2.367,6.2462,6.184,4.5422
2844,2.34,6.3139,6.1523,4.6938
2848,2.2969,6.3467,6.181,5.2602
2852,2.2419,6.35,6.1807,5.8514
2856,2.1811,6.33,6.1611,6.5374
2860,2.1215,6.2938,6.148,7.0141
2864,2.0702,6.2476,6.0806,7.4054
2868,2.0339,6.1966,6.0671,7.9351
2872,2.0178,6.1441,5.9936,8.4366
2876,2.0253,6.091,5.8984,8.9984
2880,2.0573,6.0362,5.8282,9.5279
2884,2.1122,5.9763,5.7803,9.9576
2888,2.186,5.9068,5.667,10
2892,2.2724,5.8221,5.6249,10
2896,2.3641,5.7168,5.5416,10
2900,2.4526,5.5861,5.4247,10
2904,2.5299,5.4274,5.368,10
2908,2.5887,5.2398,5.2825,10
2912,2.6232,5.0252,5.249,10
2916,2.6299,4.7881,5.1775,10
2920,2.6076,4.5351,5.1104,10
2924,2.5577,4.2748,5.0954,10
2928,2.4839,4.0165,5.014,10
2932,2.3918,3.7699,4.9917,10
2936,2.2882,3.5436,4.9538,10
2940,2.1805,3.3447,4.9087,10
2944,2.0763,3.178,4.8559,10
2948,1.9821,3.0455,4.7967,10
2952,1.9032,2.9467,4.7573,10
2956,1.8431,2.8783,4.7137,10
2960,1.8033,2.8348,4.6624,10
2964,1.7833,2.8098,4.6416,10
2968,1.781,2.7959,4.5623,10
2972,1.7925,2.7863,4.5269,10
2976,1.8133,2.7753,4.479,10
2980,1.8382,2.7593,4.4244,10
2984,1.8624,2.7367,4.3999,9.9628
2988,1.8813,2.7083,4.3523,9.9307
2992,1.8917,2.6772,4.2715,9.8587
2996,1.8913,2.6482,4.247,9.7696
3000,1.8793,2.6273,4.1933,9.7626
3004,1.8561,2.6205,4.1558,9.7015
3008,1.8235,2.6335,4.1277,9.6219
3012,1.784,2.6703,4.0764,9.5889
3016,1.7408,2.7332,4.0114,9.5117
3020,1.6972,2.8216,3.9654,9.4525
3024,1.6567,2.9326,3.9477,9.4107
3028,1.6222,3.0608,3.9031,9.3155
3032,1.5963,3.1988,3.8311,9.2642
3036,1.5808,3.338,3.7786,9.2203
3040,1.5766,3.469,3.7353,9.1528
3044,1.5841,3.5832,3.6675,9.1632
3048,1.603,3.673,3.644,9.0918
3052,1.6322,3.733,3.5848,9.064
3056,1.6706,3.7603,3.5344,9.003
3060,1.7162,3.7544,3.4658,9.024
3064,1.7675,3.718,3.409,8.959
3068,1.8222,3.6558,3.369,8.93
3072,1.8786,3.5743,3.2778,8.959
3076,1.9347,3.4814,3.236,8.9184
3080,1.9887,3.3847,3.2137,8.9236
3084,2.0391,3.2915,3.1533,8.9102
3088,2.0844,3.2078,3.1002,8.8809
3092,2.1237,3.1376,3.0678,8.8794
3096,2.1561,3.0826,3.0294,8.9035
3100,2.1814,3.0425,3.0217,8.8702
3104,2.1996,3.0146,3.001,8.8965
3108,2.2115,2.9948,2.9644,8.8476
3112,2.2179,2.9775,2.972,8.8568
3116,2.2203,2.9571,2.9726,8.869
3120,2.2206,2.9282,2.9326,8.8113
3124,2.2205,2.886,2.9543,8.7906
3128,2.2219,2.8277,2.9409,8.8028
3132,2.2266,2.7518,2.9125,8.8101
3136,2.2358,2.6591,2.9378,8.7784
3140,2.2502,2.552,2.9473,8.7539
3144,2.2701,2.4344,2.9162,8.6908
3148,2.2948,2.3116,2.9448,8.6978
3152,2.3231,2.1891,2.9418,8.6868
3156,2.3533,2.0727,2.9253,8.6099
3160,2.3832,1.9675,2.9503,8.5663
3164,2.4109,1.8775,2.9403,8.5345
3168,2.4342,1.8056,2.9384,8.4549
3172,2.4518,1.7532,2.9583,8.3938
3176,2.4629,1.7199,2.9509,8.3178
3180,2.4676,1.7045,2.9848,8.2123
3184,2.4673,1.7043,2.9656,8.1268
3188,2.4638,1.7162,2.9973,8.0752
3192,2.4601,1.7369,3.0135,7.9922
3196,2.4596,1.763,2.9986,7.8833
3200,2.4659,1.7916,3.0352,7.8116
3204,2.4823,1.8208,3.0327,7.6831
3208,2.5118,1.8493,3.0575,7.5775
3212,2.5562,1.8767,3.0712,7.492
3216,2.6163,1.9035,3.0767,7.3806
3220,2.6915,1.9308,3.0678,7.3159
3224,2.78,1.9601,3.0825,7.2335
3228,2.8787,1.9931,3.1203,7.1356
3232,2.9837,2.0317,3.1072,7.0379
3236,3.0909,2.0773,3.1524,6.9351
3240,3.1959,2.1311,3.142,6.7849
3244,3.2949,2.1936,3.1691,6.7236
3248,3.3852,2.2653,3.1984,6.6204
3252,3.465,2.3458,3.203,6.509
3256,3.5343,2.4345,3.2241,6.3763
3260,3.5946,2.5305,3.2494,6.2908
3264,3.6487,2.6328,3.2708,6.1736
3268,3.7004,2.7399,3.3013,6.0439
3272,3.7544,2.8504,3.3672,5.9417
3276,3.8153,2.963,3.3754,5.8715
3280,3.8872,3.0761,3.4405,5.7537
3284,3.9735,3.1879,3.4493,5.6518
3288,4.0759,3.2969,3.5198,5.6078
3292,4.1946,3.4012,3.5479,5.498
3296,4.3276,3.4991,3.622,5.4418
3300,4.4715,3.5889,3.7038,5.0274
3304,4.6212,3.6692,3.7465,5.017
3308,4.7706,3.7387,3.8402,4.9633
3312,4.9128,3.7967,3.9132,4.9917
3316,5.0413,3.843,4.0142,4.9834
3320,5.15,3.8782,4.0673,4.949
3324,5.2342,3.9033,4.121,4.9758
3328,5.2905,3.9201,4.1442,4.9413
3332,5.3176,3.9309,4.2748,4.9487
3336,5.316,3.938,4.7063,4.9749
3340,5.2881,3.944,5.0942,4.9529
3344,5.2373,3.9512,5.501,4.992
3348,5.1686,3.9611,5.9371,4.9609
3352,5.0871,3.9747,6.369,4.9786
3356,4.9978,3.9916,6.7846,5.0149
3360,4.9055,4.0107,6.9824,5.1046
3364,4.8137,4.0294,7.2161,5.1943
3368,4.7249,4.0446,7.3916,5.2343
3372,4.64,4.0524,7.6165,5.2847
3376,4.559,4.0489,7.8457,5.4107
3380,4.4807,4.0302,8.0584,5.4794
3384,4.403,3.9935,8.2852,5.595
3388,4.3237,3.9371,8.4491,5.6707
3392,4.2408,3.8606,8.6221,5.7977
3396,4.1526,3.7658,8.8305,5.9344
3400,4.0582,3.656,8.9615,6.0513
3404,3.9579,3.5363,9.1278,6.1221
3408,3.8527,3.4129,9.2114,6.3177
3412,3.745,3.2932,9.3436,6.3751
3416,3.6375,3.1844,9.4351,6.4981
3420,3.5335,3.0936,9.5132,6.607
3424,3.4364,3.0267,9.5132,6.6894
3428,3.3494,2.9879,9.5727,6.7617
3432,3.2747,2.9793,9.577,6.795
3436,3.214,3.0008,9.6344,6.8643
3440,3.1679,3.0499,9.6063,6.9067
3444,3.1361,3.1219,9.6402,6.9326
3448,3.1172,3.2105,9.6289,7.0034
3452,3.1093,3.3081,9.6378,7.0425
3456,3.1101,3.4069,9.6387,7.0318
3460,3.1173,3.4989,9.6304,7.0904
3464,3.1287,3.5776,9.6316,7.1063
3468,3.1428,3.6376,9.6451,7.1807
3472,3.1585,3.6757,9.6136,7.1972
3476,3.1756,3.6908,9.584,7.2149
3480,3.1945,3.6837,9.5892,7.3001
3484,3.2161,3.6576,9.5889,7.3086
3488,3.2416,3.6166,9.5502,7.3846
3492,3.272,3.5662,9.5068,7.3867
3496,3.3085,3.512,9.5331,7.4722
3500,3.3514,3.459,9.5206,7.4697
3504,3.4004,3.4116,9.4922,7.5308
3508,3.4547,3.3727,9.4598,7.565
3512,3.5127,3.3433,9.422,7.622
3516,3.5721,3.3229,9.4131,7.7069
3520,3.6306,3.3092,9.4122,7.7115
3524,3.6854,3.2988,9.4183,7.8024
3528,3.7344,3.2873,9.3817,7.8613
3532,3.7758,3.27,9.4183,7.868
3536,3.8083,3.2425,9.379,7.9336
3540,3.8317,3.2013,9.3777,7.9678
3544,3.8465,3.1441,9.4159,7.9971
3548,3.8536,3.0701,9.5044,8.0008
3552,3.8548,2.9803,9.5889,8.0472
3556,3.8517,2.8772,9.7046,8.0923
3560,3.8458,2.7648,9.8087,8.0987
3564,3.8381,2.6478,9.9478,8.1265
3568,3.8289,2.5318,10,8.1436
3572,3.8178,2.422,10,8.1268
3576,3.803,2.3232,10,8.1021
3580,3.7824,2.2391,10,8.1366
3584,3.753,2.1723,10,8.1537
3588,3.7116,2.1236,10,8.1512
3592,3.6551,2.0924,10,8.1476
3596,3.581,2.0767,10,8.0996
3600,3.4878,2.0733,10,8.0978
3604,3.3749,2.0784,10,8.0951
3608,3.2434,2.0876,10,8.0826
3612,3.0957,2.0969,10,8.0267
3616,2.9353,2.1027,10,7.9971
3620,2.7669,2.1022,10,7.9776
3624,2.5954,2.094,10,7.9199
3628,2.4259,2.0777,10,7.8262
3632,2.2629,2.0542,10,7.7853
3636,2.11,2.0256,10,7.7459
3640,1.9696,1.9947,10,7.6614
3644,1.8424,1.965,10,7.5872
3648,1.7276,1.9404,9.9506,7.5091
3652,1.6232,1.9245,9.8688,7.4707
3656,1.5262,1.9205,9.7745,7.3529
3660,1.433,1.9311,9.6744,7.305
3664,1.3402,1.9579,9.6112,7.2512
3668,1.2452,2.0019,9.4913,7.1646
3672,1.1464,2.0626,9.3814,7.0996
3676,1.044,2.1388,9.2862,6.9747
3680,0.94032,2.2281,9.1055,6.896
3684,0.8393,2.3277,9.0967,6.8447
3688,0.74674,2.4336,8.7988,6.7742
3692,0.66972,2.5418,8.6426,6.6677
3696,0.61596,2.6476,8.4292,6.5786
3700,0.59314,2.7467,8.2147,6.5112
3704,0.60806,2.8345,8.045,6.416
3708,0.66595,2.9069,7.912,6.3272
3712,0.76981,2.9602,7.6825,6.2817
3716,0.92001,2.9914,7.5079,6.2298
3720,1.1141,2.9983,7.3568,6.1398
3724,1.3467,2.9797,7.1777,6.1138
3728,1.6102,2.9352,6.9967,6.0278
3732,1.895,2.8657,6.8106,6.0043
3736,2.1904,2.7731,6.5997,5.9539
3740,2.4853,2.6602,6.437,5.8953
3744,2.7695,2.531,6.1981,5.873
3748,3.0337,2.3898,6.0421,5.7998
3752,3.2711,2.2414,5.8364,5.7607
3756,3.477,2.0911,5.6347,5.7195
3760,3.6495,1.9435,5.1238,5.6887
3764,3.7893,1.8031,5.0185,5.6216
3768,3.8992,1.6735,4.9075,5.5425
3772,3.9839,1.5572,4.8565,5.4775
3776,4.049,1.4556,4.7967,5.4031
3780,4.1006,1.3688,4.7997,4.9487
3784,4.1442,1.2959,4.7634,4.9068
3788,4.1845,1.2348,4.7308,4.8305
3792,4.2245,1.1826,4.7481,4.7378
3796,4.2655,1.1361,4.7466,4.6767
3800,4.307,1.0919,4.753,4.5992
3804,4.3468,1.047,4.7662,4.4799
3808,4.3815,0.99874,4.7335,4.4228
3812,4.4068,0.9457,4.7646,4.3359
3816,4.4182,0.88739,4.7442,4.2519
3820,4.4115,0.82455,4.7671,4.1518
3824,4.3834,0.75905,4.8003,4.1015
3828,4.3318,0.69378,4.8125,4.0081
3832,4.2563,0.63235,4.8437,3.9037
3836,4.1577,0.57882,4.9651,3.8277
3840,4.0383,0.53732,5.0735,3.7041
3844,3.9018,0.51169,5.2123,3.5839
3848,3.7521,0.50512,5.277,3.5113
3852,3.5937,0.51994,5.3765,3.3834
3856,3.4307,0.55744,5.4443,3.2171
3860,3.2664,0.61775,5.5996,3.051
3864,3.1032,0.69993,5.6719,2.9326
3868,2.9425,0.80207,5.8175,2.8188
3872,2.7841,0.9215,5.9197,2.6836
3876,2.627,1.055,6.0049,2.5624
3880,2.4695,1.1992,6.0815,2.4544
3884,2.3095,1.3507,6.1871,2.3696
3888,2.145,1.5063,6.2515,2.2805
3892,1.9746,1.6632,6.3198,2.1913
3896,1.7978,1.8192,6.3812,2.1672
3900,1.6156,1.9724,6.3833,2.181
3904,1.43,2.1216,6.4056,2.1691
3908,1.2447,2.2659,6.4486,2.1639
3912,1.0645,2.4046,6.4263,2.195
3916,0.89504,2.5372,6.4764,2.1877
3920,0.74248,2.6633,6.4477,2.2289
3924,0.61281,2.7825,6.441,2.2548
3928,0.51143,2.8942,6.4642,2.2588
3932,0.44267,2.9977,6.4126,2.2704
3936,0.40937,3.0926,6.3809,2.2988
3940,0.41263,3.1782,6.3101,2.322
3944,0.45172,3.2542,6.2402,2.3565
3948,0.52408,3.3203,6.0272,2.3662
3952,0.6256,3.3765,5.873,2.4077
3956,0.75092,3.4232,5.7031,2.426
3960,0.89384,3.4606,5.5105,2.4736
3964,1.0479,3.4894,5.3246,2.5466
3968,1.2066,3.5099,5.1601,2.5878
3972,1.3643,3.5225,5.0271,2.6455
3976,1.5162,3.527,4.8653,2.6592
3980,1.6586,3.5229,4.7256,2.7163
3984,1.7891,3.5091,4.602,2.7868
3988,1.9069,3.484,4.4814,2.8652
3992,2.0119,3.4456,4.3426,2.9348
3996,2.1054,3.3916,4.2779,2.9628
4000,2.1892,3.3198,4.1799,3.0678
4004,2.2654,3.228,4.1006,3.1279
4008,2.3363,3.115,4.0459,3.185
4012,2.404,2.9801,3.987,3.243
4016,2.4703,2.8241,3.9028,3.2949
4020,2.5362,2.6488,3.8604,3.3593
4024,2.6023,2.4576,3.8,3.4633
4028,2.6687,2.2548,3.7655,3.5805
4032,2.7349,2.0462,3.7075,3.6593
4036,2.8002,1.838,3.6925,3.6837
4040,2.8635,1.6369,3.6873,3.7639
4044,2.9238,1.4491,3.6596,3.7514
4048,2.9802,1.2806,3.6529,3.8152
4052,3.0319,1.136,3.6196,3.8091
4056,3.0784,1.0186,3.6101,3.8296
4060,3.1195,0.92978,3.6245,3.8259
4064,3.155,0.86944,3.6312,3.7963
4068,3.1851,0.83561,3.6144,3.8198
4072,3.21,0.82488,3.6553,3.8177
4076,3.23,0.83275,3.6672,3.7881
4080,3.2451,0.85406,3.6379,3.7978
4084,3.2554,0.88351,3.6883,3.7807
4088,3.261,0.9162,3.6831,3.7151
4092,3.2615,0.94805,3.6831,3.7179
